sequence,gt_id,event_frame,start_frame,end_frame,event_type,candidate_score,sam2_window_mean_iou,samurai_window_mean_iou,stateful_window_mean_iou,sam2_window_coverage50,samurai_window_coverage50,stateful_window_coverage50,stateful_delta_vs_sam2,stateful_delta_vs_samurai,stateful_coverage_gain_vs_sam2,stateful_true_state_rate,stateful_max_miss_count,stateful_fallback_modes,reason,sam2_output,samurai_output,stateful_output,stateful_debug,gt_path,checkpoint,provenance_status
dancetrack0007,6,675,673,678,strong_stateful_improvement,0.9563108185901525,0.0,0.0,0.9938513643169209,0.0,0.0,1.0,0.9938513643169209,0.9938513643169209,1.0,1.0,0,,stateful mean IoU 0.994 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0007/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0007,6,545,543,548,strong_stateful_improvement,0.9554022188633648,0.0,0.0,0.9923370314389413,0.0,0.0,1.0,0.9923370314389413,0.9923370314389413,1.0,1.0,0,,stateful mean IoU 0.992 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0007/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,7,893,891,896,strong_stateful_improvement,0.9533680713543571,0.0,0.09834985170485344,0.9889467855905951,0.0,0.0,1.0,0.9889467855905951,0.8905969338857417,1.0,0.75,1,,stateful mean IoU 0.989 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.098,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0004,1,1092,1090,1095,strong_stateful_improvement,0.9507417848064486,0.0,0.0,0.9845696413440809,0.0,0.0,1.0,0.9845696413440809,0.9845696413440809,1.0,1.0,0,,stateful mean IoU 0.985 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0004/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,1,573,571,576,strong_stateful_improvement,0.9496280442309055,0.0,0.0,0.9827134070515093,0.0,0.0,1.0,0.9827134070515093,0.9827134070515093,1.0,1.0,0,,stateful mean IoU 0.983 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,1,463,461,466,strong_stateful_improvement,0.9494702579625234,0.0,0.0,0.9824504299375388,0.0,0.0,1.0,0.9824504299375388,0.9824504299375388,1.0,0.9285714285714285,1,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,1,674,672,677,strong_stateful_improvement,0.9493868983937837,0.0,0.0,0.9823114973229728,0.0,0.0,1.0,0.9823114973229728,0.9823114973229728,1.0,1.0,0,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0007,6,562,560,565,strong_stateful_improvement,0.9493057457768006,0.0,0.0,0.9821762429613344,0.0,0.0,1.0,0.9821762429613344,0.9821762429613344,1.0,1.0,0,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0007/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,11,583,581,586,strong_stateful_improvement,0.9492624509334913,0.0,0.0,0.9821040848891521,0.0,0.0,1.0,0.9821040848891521,0.9821040848891521,1.0,0.9285714285714285,1,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,7,816,814,819,strong_stateful_improvement,0.9491272666873198,0.0,0.49691884633685984,0.9818787778121996,0.0,0.16666666666666666,1.0,0.9818787778121996,0.4849599314753397,1.0,1.0,0,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.497,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0004,1,1077,1075,1080,strong_stateful_improvement,0.9489778082106561,0.0,0.0,0.9816296803510937,0.0,0.0,1.0,0.9816296803510937,0.9816296803510937,1.0,1.0,0,,stateful mean IoU 0.982 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0004/gt/gt.txt,epoch100.pth,verified_stateful_manifest
