sequence,gt_frames,gt_records,sam2_mean_iou,samurai_mean_iou,stateful_mean_iou,sam2_coverage50,samurai_coverage50,stateful_coverage50,stateful_delta_vs_sam2,stateful_delta_vs_samurai,stateful_hota0,stateful_assa_auc,stateful_idf1,stateful_idsw
dancetrack0034,923,11142,0.577850306632857,0.6429510686882631,0.6982630878017304,0.5863399748698618,0.6801292407108239,0.7511218811703464,0.12041278116887344,0.05531201911346728,0.6202859888185411,0.4942023896124468,0.5663844199830652,59.0
dancetrack0041,1003,16738,0.49502015920671183,0.48111109414995423,0.5837917233228966,0.5065718723861872,0.5103357629346398,0.6301828175409249,0.08877156411618481,0.1026806291729424,0.4857048389357209,0.37110447740270286,0.4691136471973754,215.0
dancetrack0004,1203,4586,0.6477442222115654,0.6428450705722717,0.7319716822225277,0.6940689053641518,0.6801133885739207,0.8004797208896642,0.08422746001096237,0.08912661165025604,0.7413181301531209,0.5581738851532071,0.6945776073292852,29.0
dancetrack0030,1263,7572,0.7582010279205492,0.8334137814124754,0.8312547422181242,0.8335974643423137,0.9397781299524565,0.9322503961965135,0.07305371429757501,-0.00215903919435112,0.957231703372179,0.7673075288351289,0.9213201320132013,6.0
dancetrack0025,803,7079,0.7773228547973322,0.7812947227572694,0.8483413975572603,0.867071620285351,0.865517728492725,0.9663794321231812,0.07101854275992814,0.06704667479999094,0.9422485352256622,0.8011361324965182,0.9163987138263665,3.0
dancetrack0035,703,5263,0.7391499718198044,0.7236483069311317,0.782169178597607,0.8358350750522515,0.8105643169295079,0.9008170245107353,0.04301920677780269,0.05852087166647535,0.8319907028924837,0.6433360146067949,0.7977207977207977,33.0
dancetrack0058,1601,11050,0.8614909501565147,0.8978251762401367,0.904205521086797,0.9063348416289593,0.9582805429864253,0.9640723981900452,0.0427145709302823,0.00638034484666028,0.9479403415015291,0.8781152410438929,0.9508019948780159,6.0
dancetrack0073,703,8470,0.5997628027894362,0.6621243852064228,0.6315273360910255,0.5676505312868949,0.6858323494687131,0.632349468713105,0.03176453330158935,-0.03059704911539729,0.6878898767077622,0.649072589363881,0.556585005399875,56.0
dancetrack0010,1203,7029,0.8859221819755558,0.7369713707125505,0.912363150680212,0.9507753592260635,0.7844643619291507,0.9887608479157775,0.026440968704656176,0.17539177996766153,0.9739594495027197,0.8671031383592652,0.9545869305818769,2.0
dancetrack0081,984,18809,0.5498572258207155,0.5874015359828036,0.5662433363631075,0.5719070657663884,0.6269870806528789,0.5844542506247009,0.01638611054239203,-0.021158199619696116,0.5848091060223439,0.5095659311138463,0.5044965431200291,163.0
dancetrack0019,2402,16504,0.6900920474840616,0.5717250433561147,0.7056394711875057,0.7126151236063984,0.5969461948618516,0.736730489578284,0.015547423703444085,0.13391442783139096,0.603773856419916,0.4839167662167431,0.5654601116513597,104.0
dancetrack0007,1203,9471,0.766245592643569,0.6578107215303926,0.7815854760651667,0.8347587371977616,0.6977087952697709,0.8491183613134833,0.015339883421597755,0.12377475453477416,0.7149026397293866,0.611842460793203,0.6954700183294056,21.0
dancetrack0097,1203,4668,0.9045668959465597,0.8435215310569717,0.9112133252269039,0.9815766923736076,0.9020994001713796,0.9963581833761782,0.0066464292803442016,0.0676917941699322,0.9703882465523095,0.872062248373129,0.9781622534022576,2.0
dancetrack0018,503,2935,0.8473281098518147,0.8430990043558428,0.8520910833450438,0.8977853492333902,0.894037478705281,0.9022146507666099,0.004762973493229072,0.008992078989200958,0.79632655658523,0.8826475622579301,0.7656976744186047,3.0
dancetrack0014,1203,12655,0.5378783352073677,0.636578998873705,0.5419784851652882,0.5563018569735283,0.6655867246147767,0.559857763729751,0.004100149957920518,-0.09460051370841671,0.42356359722678116,0.30175107561129155,0.4041351301458372,110.0
dancetrack0047,1203,9410,0.6512371475523916,0.6887523929733127,0.6550607308680305,0.6766206163655686,0.7450584484590861,0.6842720510095643,0.003823583315638923,-0.03369166210528218,0.7352705667156684,0.6160463857676326,0.6194178837869077,51.0
dancetrack0005,1203,4739,0.5472738756954874,0.7172805342136926,0.5501880974311837,0.543152563832032,0.7465710065414645,0.5522262080607723,0.002914221735696332,-0.16709243678250896,0.5524094470233951,0.6064960526915941,0.5381795328375406,15.0
dancetrack0065,702,3505,0.8564273352656352,0.7296030414810248,0.8545254121816209,0.9243937232524965,0.7737517831669044,0.9252496433666191,-0.0019019230840142676,0.12492237070059609,0.9058569437295994,0.8125560501578786,0.9160370634354954,10.0
dancetrack0063,1000,7614,0.5279711844165936,0.5166616590280926,0.5182180469507254,0.5990281061203047,0.5864197530864198,0.5751247701602311,-0.009753137465868256,0.001556387922632796,0.471439979815359,0.30946617229712614,0.47598309209683615,91.0
dancetrack0094,603,11749,0.6323565752999616,0.5890428746848052,0.6220508285186291,0.6364797004000341,0.5904332283598605,0.6295854966380118,-0.010305746781332448,0.03300795383382393,0.538489333708091,0.5339690783607886,0.4918082068239892,156.0
dancetrack0026,302,3993,0.5787803703611497,0.5512090925970581,0.5654544328192322,0.6155772602053594,0.5742549461557725,0.5960430753819184,-0.013325937541917465,0.014245340222174163,0.32554519298106555,0.18779611940363955,0.3066494512588767,181.0
dancetrack0090,1004,13142,0.6450506121749967,0.5768147463641339,0.6179580045887441,0.65286866534774,0.5758636432810835,0.6177141987520925,-0.02709260758625265,0.04114325822461018,0.6440415113405282,0.5490816128018627,0.5192321835699051,144.0
dancetrack0043,183,1675,0.6787310760473513,0.6526434968701463,0.6460667964001855,0.777910447761194,0.7504477611940299,0.7301492537313433,-0.032664279647165784,-0.006576700469960839,0.6999405003575129,0.5440226510644672,0.6035665294924554,29.0
dancetrack0077,1203,10827,0.8552537654466202,0.8258120026791714,0.8205656205629682,0.9903020227209753,0.9443059019118869,0.9557587512699732,-0.03468814488365202,-0.005246382116203208,0.9464418242514318,0.7953744756742601,0.9498476032141867,3.0
dancetrack0079,1202,14523,0.7890592215874904,0.7166585132623815,0.7289234417127965,0.8379122770777387,0.7472973903463471,0.768367417200303,-0.06013577987469387,0.012264928450415047,0.809638376113921,0.7263709318371052,0.7376480195998366,43.0
